;1982;avg_area;med_area;std_area;min_area;max_area;avg_n_vert;med_n_vert;std_n_vert;avg_perim;med_perim;std_perim;avg_compac;med_compac;std_compac;avg_elong;med_elong;std_elong;avg_round;med_round;std_round;avg_convex;med_convex;std_convex;nber_concave_poly;avg_solid;med_solid;std_solid;avg_rect;med_rect;std_rect;nber_poly_with_hole;nber_plots
delft_1961;nber_plots;377;377;375;Delft 1961;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delft_1915;avg_area;2217.148;2437.294;2464.104;Delft 1915;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delft_1915;med_area;772.334;843.941;879.633;Delft 1915;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delft_1915;std_area;3389.031;3821.359;3814.458;Delft 1915;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delft_1915;min_area;151.191;149.977;130.292;Delft 1915;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delft_1915;max_area;24316.54;30605.093;30561.965;Delft 1915;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delft_1915;avg_n_vert;117.867;17.71;5.987;Delft 1915;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delft_1915;med_n_vert;73.5;15;5;Delft 1915;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delft_1915;std_n_vert;121.182;7.958;2.501;Delft 1915;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delft_1915;avg_perim;277.78;181.48;191.572;Delft 1915;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delft_1915;med_perim;169.5;125.5;136;Delft 1915;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delft_1915;std_perim;299.721;153.154;150.327;Delft 1915;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delft_1915;avg_compac;0.343;0.713;0.616;Delft 1915;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delft_1915;med_compac;0.356;0.758;0.652;Delft 1915;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delft_1915;std_compac;0.134;0.175;0.147;Delft 1915;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delft_1915;avg_elong;0.572;0.56;0.535;Delft 1915;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delft_1915;med_elong;0.565;0.554;0.503;Delft 1915;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delft_1915;std_elong;0.229;0.229;0.23;Delft 1915;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delft_1915;avg_round;0.613;0.718;0.619;Delft 1915;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delft_1915;med_round;0.641;0.763;0.654;Delft 1915;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delft_1915;std_round;0.161;0.169;0.143;Delft 1915;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delft_1915;avg_convex;0.732;0.994;0.996;Delft 1915;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delft_1915;med_convex;0.748;0.999;1;Delft 1915;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delft_1915;std_convex;0.088;0.017;0.017;Delft 1915;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delft_1915;nber_concave_poly;300;238;73;Delft 1915;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delft_1915;avg_solid;0.802;0.956;0.977;Delft 1915;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delft_1915;med_solid;0.835;0.978;1;Delft 1915;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delft_1915;std_solid;0.12;0.081;0.079;Delft 1915;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delft_1915;avg_rect;0.668;0.789;0.761;Delft 1915;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delft_1915;med_rect;0.686;0.804;0.785;Delft 1915;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delft_1915;std_rect;0.133;0.105;0.144;Delft 1915;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delft_1915;nber_poly_with_hole;30;0;0;Delft 1915;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delft_1915;nber_plots;300;300;299;Delft 1915;;;;;;;;;;;;;;;;;;;;;;;;;;;;
